Time_Stamp,cpu,mem,Directory_Size,CPUtemperature
2016-10-01 01:19:21,200709.375,1231785984,25572089,
2016-10-01 01:24:21,201316.296875,1234632704,21858303,
2016-10-01 01:29:19,201900.59375,1225924608,22579074,
2016-10-01 01:34:21,202535.78125,1226735616,23364788,
2016-10-01 01:39:30,203162.09375,1229672448,24166835,
2016-10-01 01:44:21,203753.625,1230618624,24935816,
2016-10-01 01:49:21,204356.734375,1232027648,25624575,
2016-10-01 01:54:21,204982.3125,1237114880,21880887,
2016-10-01 01:59:20,205579.671875,1239490560,22619677,
2016-10-01 02:04:21,206189.6875,1230376960,23399855,
2016-10-01 02:09:20,206794.015625,1228201984,24150653,
2016-10-01 02:14:20,207405.375,1229475840,24920202,
2016-10-01 02:19:20,208010.984375,1234755584,25663173,
2016-10-01 02:24:20,208615.890625,1233285120,26332103,
2016-10-01 02:29:20,209214.5625,1243295744,27096136,
2016-10-01 02:34:20,209814.546875,1236000768,27848217,
2016-10-01 02:39:20,210438.84375,1235763200,22949614,
2016-10-01 02:44:20,211045.015625,1226903552,23735231,
2016-10-01 02:49:20,211658.796875,1229066240,24469249,
2016-10-01 02:54:20,212267.015625,1229553664,25177427,
2016-10-01 02:59:20,212865.109375,1230995456,25872767,
2016-10-01 03:04:20,213479.359375,1232814080,26614435,
2016-10-01 03:09:20,214093.796875,1236062208,27248196,
2016-10-01 03:14:19,214680.28125,1240227840,23535478,
2016-10-01 03:19:19,215288.703125,1231695872,24292501,
2016-10-01 03:24:19,215897.265625,1229692928,25045900,
2016-10-01 03:29:19,216505.796875,1230426112,25706622,
2016-10-01 03:34:19,217114.546875,1231802368,26382119,
2016-10-01 03:39:19,217721.921875,1232396288,26964714,
2016-10-01 03:44:19,218330.609375,1234767872,27688061,
2016-10-01 03:49:21,218970.296875,1242894336,28430583,
2016-10-01 03:54:20,219557.40625,1236430848,29134117,
2016-10-01 03:59:20,220177.28125,1249079296,29740633,
2016-10-01 04:04:21,220792.265625,1241575424,30437628,
2016-10-01 04:09:20,221382.953125,1245663232,24212415,
2016-10-01 04:14:19,221980.328125,1242333184,24909236,
2016-10-01 04:19:19,222588.34375,1233530880,25618052,
2016-10-01 04:24:20,223197.921875,1233281024,26366744,
2016-10-01 04:29:19,223806.53125,1232343040,27097808,
2016-10-01 04:34:20,224418.40625,1233911808,27904134,
2016-10-01 04:39:20,225024.75,1235529728,28570252,
2016-10-01 04:44:21,225663.984375,1243607040,24873210,
2016-10-01 04:49:21,226492.328125,1234190336,26102867,
2016-10-01 04:54:39,227017.078125,1232551936,26782218,
2016-10-01 04:59:32,227568.203125,1232584704,27338548,
2016-10-01 05:04:36,228224.78125,1235349504,28163519,
2016-10-01 05:09:35,228725.265625,1234747392,28616972,
2016-10-01 05:14:19,229280.234375,1240510464,29286164,
2016-10-01 05:19:19,229888.8125,1245515776,25505630,
2016-10-01 05:24:19,230497.859375,1231159296,26300919,
2016-10-01 05:29:23,231151.15625,1232363520,27110905,
2016-10-01 05:34:23,231762.140625,1234255872,27767939,
2016-10-01 05:39:22,232364.515625,1236025344,28420254,
2016-10-01 05:44:22,232974.671875,1238228992,29181740,
2016-10-01 05:49:21,233564,1237893120,29838709,
2016-10-01 05:54:21,234175.484375,1244540928,30577631,
2016-10-01 05:59:21,234785.203125,1239007232,31255494,
2016-10-01 06:04:21,235395.03125,1244643328,26380505,
2016-10-01 06:09:20,235980.40625,1232019456,27094386,
2016-10-01 06:14:20,236585.046875,1232568320,27845080,
2016-10-01 06:19:19,237199.578125,1234526208,28486331,
2016-10-01 06:24:21,237821.5,1236410368,29201387,
2016-10-01 06:29:19,238427.859375,1235030016,29844751,
2016-10-01 06:34:20,239022.6875,1238134784,30516384,
2016-10-01 06:39:20,239636.953125,1245171712,31199824,
2016-10-01 06:44:20,240236.65625,1240027136,32034541,
2016-10-01 06:49:21,240864.84375,1252323328,32751133,
2016-10-01 06:54:19,241444.921875,1244135424,33466244,
2016-10-01 06:59:19,242053.546875,1248866304,27229061,
2016-10-01 07:04:20,242670.71875,1237397504,28006990,
2016-10-01 07:09:20,243291.09375,1234374656,28804767,
2016-10-01 07:14:20,243877.890625,1235230720,29508984,
2016-10-01 07:19:19,244485.21875,1237377024,30214468,
2016-10-01 07:24:19,245093.921875,1238425600,30995613,
2016-10-01 07:29:19,245704.453125,1245368320,27282824,
2016-10-01 07:34:20,246312.96875,1235554304,28003062,
2016-10-01 07:39:19,246925,1233956864,28768912,
2016-10-01 07:44:20,247529.65625,1235316736,29551031,
2016-10-01 07:49:20,248162.953125,1236193280,30349802,
2016-10-01 07:54:20,248765.96875,1238732800,31117506,
2016-10-01 07:59:20,249355.8125,1241022464,31774415,
2016-10-01 08:04:20,249988.109375,1246343168,28097068,
2016-10-01 08:09:21,250597.0625,1233022976,28780184,
2016-10-01 08:14:20,251180.8125,1236054016,29517964,
2016-10-01 08:19:19,251791.421875,1235308544,30329256,
2016-10-01 08:24:20,252421.5,1239277568,31089594,
2016-10-01 08:29:20,253011.046875,1238573056,31781830,
2016-10-01 08:34:20,253620.859375,1241411584,32467762,
2016-10-01 08:39:20,254229.96875,1242574848,28835970,
2016-10-01 08:44:20,254851.921875,1244626944,29687081,
2016-10-01 08:49:21,255460.796875,1238126592,30386876,
2016-10-01 08:54:19,256046.921875,1238794240,31112552,
2016-10-01 08:59:20,256664.8125,1239867392,31916326,
2016-10-01 09:04:20,257282.59375,1242128384,32622960,
2016-10-01 09:09:20,257889.25,1241190400,33348969,
2016-10-01 09:14:21,258508.171875,1250525184,34131262,
2016-10-01 09:19:20,259092.078125,1248579584,29312499,
2016-10-01 09:24:20,259704.828125,1235218432,30010703,
2016-10-01 09:29:20,260307.640625,1236926464,30647113,
2016-10-01 09:34:19,260915.140625,1238929408,31454590,
2016-10-01 09:39:21,261549.234375,1239302144,32181790,
2016-10-01 09:44:20,262135.953125,1242550272,32897237,
2016-10-01 09:49:20,262765.1875,1242939392,33680961,
2016-10-01 09:54:20,263373.34375,1249878016,34360741,
2016-10-01 10:04:31,264604.5,1249697792,30391585,
2016-10-01 10:09:20,265173.375,1237991424,31046858,
2016-10-01 10:14:19,265781.9375,1239126016,31730069,
2016-10-01 10:19:20,266390.84375,1240633344,32406210,
2016-10-01 10:24:19,266997.84375,1241649152,33145642,
2016-10-01 10:29:20,267606.71875,1243172864,33833155,
2016-10-01 10:34:19,268214.28125,1242255360,34465378,
2016-10-01 10:39:19,268821.796875,1250127872,35118186,
2016-10-01 10:44:21,269457.828125,1245765632,35898928,
2016-10-01 10:49:21,270063.625,1257385984,36645500,
2016-10-01 10:54:20,270652.765625,1249308672,37265900,
2016-10-01 10:59:20,271265.8125,1254432768,30957486,
2016-10-01 11:04:21,271889.5,1248747520,31619120,
2016-10-01 11:09:21,272496.671875,1238208512,32425627,
2016-10-01 11:14:20,273082.40625,1241526272,33192877,
